params,num_parameters,num_epochs,epoch_train_time,training_time,backpropagation_time,loss_min,max_cpu_usage,max_ram_usage,accuracy,f1_score,precision,recall,confusion_matrix
"{'batch_size': 256, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128], 'learning_rate': 0.1, 'weight_decay': 0.0}",1798,64,0.5358872413635254,36.422380208969116,1.1949575820021867,0.024935947731137276,0.0,27.4,97.60670468290996,0.9757441477800715,0.9766704370692948,0.9760670468290997,"[[1893, 1, 0, 0, 0, 0], [23, 1739, 15, 25, 55, 95], [8, 0, 1899, 0, 0, 0], [0, 0, 11, 1984, 0, 0], [0, 14, 0, 0, 1844, 29], [1, 0, 0, 0, 0, 1938]]"
"{'batch_size': 256, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128], 'learning_rate': 0.1, 'weight_decay': 0.0005}",1798,64,0.5776779651641846,36.345322370529175,1.2069222882637003,0.11119890958070755,2.4,27.3,93.98652151373769,0.9380812356877687,0.9421670780896698,0.9398652151373769,"[[1843, 14, 23, 9, 0, 5], [38, 1467, 26, 34, 258, 129], [1, 0, 1824, 80, 2, 0], [0, 9, 0, 1986, 0, 0], [0, 12, 0, 0, 1864, 11], [0, 28, 4, 5, 8, 1894]]"
"{'batch_size': 256, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128], 'learning_rate': 0.1, 'weight_decay': 0.0001}",1798,64,0.6642909049987793,36.25579071044922,1.194467881272511,0.051083218306303024,0.0,27.3,96.25021600138241,0.9619662173950974,0.9625405310163327,0.962502160013824,"[[1868, 0, 26, 0, 0, 0], [35, 1671, 27, 13, 102, 104], [0, 0, 1907, 0, 0, 0], [8, 25, 0, 1962, 0, 0], [0, 42, 0, 0, 1845, 0], [0, 22, 5, 0, 25, 1887]]"
"{'batch_size': 256, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128], 'learning_rate': 0.01, 'weight_decay': 0.0}",1798,64,0.5199263095855713,35.209784746170044,1.1372805794299636,0.009413991123437881,0.0,27.3,98.72991187143597,0.9872420020999184,0.987248993363873,0.9872991187143598,"[[1894, 0, 0, 0, 0, 0], [11, 1859, 5, 11, 26, 40], [0, 8, 1897, 2, 0, 0], [0, 0, 0, 1995, 0, 0], [0, 6, 0, 0, 1881, 0], [0, 34, 0, 0, 4, 1901]]"
"{'batch_size': 256, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128], 'learning_rate': 0.01, 'weight_decay': 0.0005}",1798,64,0.5623714923858643,35.519339084625244,1.1499210451189326,0.09000710397958755,0.0,27.4,95.7836530153793,0.9567146757397276,0.9599707043674479,0.957836530153793,"[[1856, 0, 32, 1, 0, 5], [44, 1570, 33, 20, 144, 141], [0, 0, 1898, 3, 0, 6], [4, 0, 8, 1983, 0, 0], [0, 8, 0, 0, 1843, 36], [0, 0, 3, 0, 0, 1936]]"
"{'batch_size': 256, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128], 'learning_rate': 0.01, 'weight_decay': 0.0001}",1798,64,0.5799667835235596,35.6013867855072,1.1657085372598133,0.03962608054280281,0.0,27.5,97.39934335579748,0.9738764605981453,0.973896722867492,0.9739934335579747,"[[1891, 0, 0, 3, 0, 0], [38, 1802, 11, 12, 41, 48], [4, 7, 1885, 11, 0, 0], [0, 13, 0, 1982, 0, 0], [0, 12, 0, 0, 1874, 1], [0, 93, 0, 0, 7, 1839]]"
"{'batch_size': 256, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128], 'learning_rate': 0.001, 'weight_decay': 0.0}",1798,64,0.5270168781280518,34.69723153114319,1.1210785715619505,0.049857109785079956,0.0,27.5,97.48574390876102,0.9743605196605287,0.9755253002661647,0.9748574390876101,"[[1892, 0, 1, 1, 0, 0], [29, 1702, 22, 19, 105, 75], [1, 0, 1904, 2, 0, 0], [0, 4, 0, 1991, 0, 0], [0, 3, 0, 0, 1882, 2], [0, 7, 7, 0, 13, 1912]]"
"{'batch_size': 256, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128], 'learning_rate': 0.001, 'weight_decay': 0.0005}",1798,64,0.537952184677124,37.384263038635254,1.231124387920232,0.09535574913024902,0.0,27.6,95.93053395541732,0.9581796801551096,0.9612707249484312,0.9593053395541732,"[[1871, 0, 20, 3, 0, 0], [44, 1576, 32, 22, 162, 116], [4, 0, 1902, 1, 0, 0], [3, 6, 22, 1964, 0, 0], [0, 0, 0, 0, 1865, 22], [0, 0, 9, 0, 5, 1925]]"
"{'batch_size': 256, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128], 'learning_rate': 0.001, 'weight_decay': 0.0001}",1798,64,0.5452637672424316,35.09484338760376,1.14322019463086,0.05476388707756996,0.8,27.6,97.8054259547261,0.977642284714988,0.9786314195510256,0.9780542595472611,"[[1893, 0, 0, 1, 0, 0], [29, 1726, 17, 17, 81, 82], [1, 0, 1902, 4, 0, 0], [0, 3, 0, 1992, 0, 0], [0, 0, 0, 0, 1884, 3], [0, 5, 2, 0, 9, 1923]]"
"{'batch_size': 256, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [256], 'learning_rate': 0.1, 'weight_decay': 0.0}",3590,64,0.5221223831176758,34.62826943397522,1.1114069152602832,0.012864778749644756,0.0,27.6,97.42526352168655,0.9742732209555668,0.9743504240859457,0.9742526352168653,"[[1874, 13, 3, 0, 0, 4], [13, 1814, 4, 12, 42, 67], [1, 14, 1888, 0, 0, 4], [0, 42, 0, 1953, 0, 0], [0, 24, 0, 0, 1863, 0], [0, 40, 0, 0, 15, 1884]]"
"{'batch_size': 256, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [256], 'learning_rate': 0.1, 'weight_decay': 0.0005}",3590,64,0.5302660465240479,34.95795226097107,1.1404763227997563,0.11764787882566452,0.0,27.7,94.65180577155694,0.9452722542252386,0.9473709334510091,0.9465180577155694,"[[1861, 7, 18, 8, 0, 0], [37, 1528, 28, 24, 208, 127], [0, 0, 1906, 1, 0, 0], [0, 20, 26, 1949, 0, 0], [0, 58, 0, 0, 1828, 1], [0, 11, 11, 0, 34, 1883]]"
"{'batch_size': 256, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [256], 'learning_rate': 0.1, 'weight_decay': 0.0001}",3590,64,0.5257771015167236,35.78567624092102,1.181582205038703,0.051186781376600266,0.0,27.8,96.77725937446,0.9672640600585389,0.9683160457710325,0.9677725937446,"[[1893, 0, 0, 1, 0, 0], [24, 1684, 20, 19, 99, 106], [0, 0, 1907, 0, 0, 0], [0, 5, 23, 1967, 0, 0], [0, 11, 0, 0, 1847, 29], [0, 23, 9, 0, 4, 1903]]"
"{'batch_size': 256, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [256], 'learning_rate': 0.01, 'weight_decay': 0.0}",3590,64,0.5796756744384766,34.65092420578003,1.108357693114992,0.010119087994098663,0.0,27.9,99.07551408329013,0.9906862990354487,0.9908098704290795,0.9907551408329013,"[[1894, 0, 0, 0, 0, 0], [18, 1858, 4, 5, 29, 38], [0, 2, 1905, 0, 0, 0], [0, 2, 0, 1993, 0, 0], [0, 4, 0, 0, 1883, 0], [0, 5, 0, 0, 0, 1934]]"
"{'batch_size': 256, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [256], 'learning_rate': 0.01, 'weight_decay': 0.0005}",3590,64,0.6806776523590088,34.92122960090637,1.139106836108213,0.08222267031669617,3.3,27.9,96.20701572490064,0.9613974507266478,0.9622164025380442,0.9620701572490064,"[[1876, 1, 10, 3, 0, 4], [30, 1652, 22, 20, 146, 82], [0, 0, 1898, 9, 0, 0], [0, 1, 0, 1994, 0, 0], [0, 10, 0, 0, 1871, 6], [0, 72, 13, 0, 10, 1844]]"
