params,num_parameters,accuracy,loss_list,training_time,backpropagation_time,max_cpu_usage,max_ram_usage
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10], 'learning_rate': 0.01, 'weight_decay': 0.0}",256,97.338862968723,"[0.20447492599487305, 0.23998595774173737, 0.19702573120594025, 0.28900501132011414, 0.34915754199028015, 0.06317541003227234, 0.23595543205738068, 0.06942807137966156, 0.20898228883743286, 0.12001167982816696, 0.07525508105754852, 0.15062464773654938, 0.06174440309405327, 0.43617698550224304, 0.09748006612062454, 0.2103373408317566, 0.012646188959479332, 0.051527392119169235, 0.20470261573791504, 0.05151694640517235, 0.10745234787464142, 0.02236957848072052, 0.026915688067674637, 0.17889639735221863, 0.08943779021501541, 0.14337299764156342, 0.1791713982820511, 0.024520469829440117, 0.030408162623643875, 0.015990925952792168, 0.01725964993238449, 0.02093026228249073, 0.08987452834844589, 0.1265869438648224, 0.052792396396398544, 0.06693572551012039, 0.1189374253153801, 0.03366011008620262, 0.09183753281831741, 0.06078295409679413, 0.06367094069719315, 0.01642508991062641, 0.05106324329972267, 0.05528070032596588, 0.012441175989806652, 0.04126851633191109, 0.013700779527425766, 0.03349132835865021, 0.125684916973114, 0.05005929246544838, 0.30811965465545654, 0.07188431918621063, 0.022521378472447395, 0.05411764606833458, 0.1375638097524643, 0.16516639292240143, 0.06118741258978844, 0.01449571643024683, 0.10557926446199417, 0.07750434428453445, 0.06923148036003113, 0.10581742972135544, 0.09721732139587402, 0.15196217596530914, 0.6078600287437439, 0.05626842752099037, 0.025950537994503975, 0.0806247740983963, 0.039293427020311356, 0.07616870105266571, 0.11212441325187683, 0.387208491563797, 0.039050377905368805, 0.08258525282144547, 0.06449397653341293, 0.13034377992153168, 0.044346194714307785, 0.011913534253835678, 0.2473592609167099, 0.12186476588249207, 0.07480339705944061, 0.024998916313052177, 0.05369255691766739, 0.28604352474212646, 0.014985108748078346, 0.10092566162347794, 0.20403677225112915, 0.04780709370970726, 0.03678569197654724, 0.02709958143532276, 0.020947588607668877, 0.08870798349380493, 0.03213397040963173, 0.1520085632801056, 0.10467932373285294, 0.19308294355869293, 0.030073238536715508, 0.003016574075445533, 0.024913489818572998, 0.051978930830955505]",216.76237034797668,0.7243267343847791,2.4,7.0
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10], 'learning_rate': 0.01, 'weight_decay': 0.0001}",256,97.84862623120787,"[0.2137368619441986, 0.26691189408302307, 0.12903131544589996, 0.2387043535709381, 0.20360101759433746, 0.0628429725766182, 0.19798240065574646, 0.048735834658145905, 0.3829563856124878, 0.06239992380142212, 0.04606049135327339, 0.18140314519405365, 0.4107704162597656, 0.031288959085941315, 0.014263669028878212, 0.2923043668270111, 0.06994043290615082, 0.07675183564424515, 0.06818851828575134, 0.009989863261580467, 0.010802559554576874, 0.17377682030200958, 0.1268627643585205, 0.027348708361387253, 0.03245867043733597, 0.012340367771685123, 0.02266819216310978, 0.11264517158269882, 0.04872027784585953, 0.04927259683609009, 0.019676566123962402, 0.12081150710582733, 0.006494991481304169, 0.29528868198394775, 0.009570733644068241, 0.0064500365406274796, 0.034841928631067276, 0.024344492703676224, 0.03708663955330849, 0.02283841371536255, 0.056472048163414, 0.013886015862226486, 0.24164973199367523, 0.027657775208353996, 0.06011727824807167, 0.005489013623446226, 0.061309684067964554, 0.016916250810027122, 0.02429022081196308, 0.01565714180469513, 0.014738413505256176, 0.013231518678367138, 0.040581900626420975, 0.02032638154923916, 0.05544187128543854, 0.0760020762681961, 0.02187480218708515, 0.03022739104926586, 0.009430247358977795, 0.006514060776680708, 0.24031859636306763, 0.056531455367803574, 0.3412136435508728, 0.008060796186327934, 0.010182837955653667, 0.06467141211032867, 0.0038170439656823874, 0.03225269168615341, 0.01116965152323246, 0.027588803321123123, 0.12890750169754028, 0.15210863947868347, 0.04234305024147034, 0.011702895164489746, 0.024873925372958183, 0.029306763783097267, 0.011457439512014389, 0.028496040031313896, 0.02183346077799797, 0.06423859298229218, 0.6469491720199585, 0.10945739597082138, 0.008142206817865372, 0.0798758938908577, 0.04547083005309105, 0.013172572478652, 0.202766552567482, 0.052650097757577896, 0.03210459649562836, 0.2200445532798767, 0.02172294445335865, 0.014853235334157944, 0.0314035639166832, 0.2736992835998535, 0.02965860813856125, 0.019960833713412285, 0.006418271455913782, 0.13513804972171783, 0.2422223538160324, 0.039778295904397964]",241.88822293281555,0.9140748180737153,9.5,7.1
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10], 'learning_rate': 0.01, 'weight_decay': 0.001}",256,95.13564886815276,"[0.15575653314590454, 0.17417465150356293, 0.16882656514644623, 0.06022641807794571, 0.08431641012430191, 0.14674974977970123, 0.09875857084989548, 0.3526381552219391, 0.15687470138072968, 0.2531810998916626, 0.2582146227359772, 0.10514543205499649, 0.0363570898771286, 0.06615880131721497, 0.06830267608165741, 0.19301356375217438, 0.08168812096118927, 0.10608115047216415, 0.1481754034757614, 0.1522163301706314, 0.2668333947658539, 0.33663809299468994, 0.09669751673936844, 0.38933566212654114, 0.18627576529979706, 0.06671662628650665, 0.14574390649795532, 0.14041738212108612, 0.14094729721546173, 0.2489934116601944, 0.07643571496009827, 0.046510446816682816, 0.037170689553022385, 0.3653073012828827, 0.29135310649871826, 0.1416681855916977, 0.17718949913978577, 0.2782283127307892, 0.11870372295379639, 0.04385385289788246, 0.12354867905378342, 0.0962185338139534, 0.08926758170127869, 0.15939868986606598, 0.04251096397638321, 0.08080020546913147, 0.22297538816928864, 0.10136611759662628, 0.04932880029082298, 0.37039124965667725, 0.16792899370193481, 0.20343774557113647, 0.18001766502857208, 0.14472107589244843, 0.3349553942680359, 0.12732873857021332, 0.07833933085203171, 0.10909316688776016, 0.15563811361789703, 0.0569363571703434, 0.09857498854398727, 0.17220011353492737, 0.11301327496767044, 0.08836419880390167, 0.14032875001430511, 0.09770326316356659, 0.10571172088384628, 0.08011646568775177, 0.12035093456506729, 0.11978866904973984, 0.08972206711769104, 0.07405735552310944, 0.30289939045906067, 0.09844761341810226, 0.05689283832907677, 0.05423198640346527, 0.10915079712867737, 0.0685526505112648, 0.01226618979126215, 0.07560043781995773, 0.2934003174304962, 0.07976074516773224, 0.07709501683712006, 0.07480093091726303, 0.3894774317741394, 0.13405515253543854, 0.1963541954755783, 0.17477963864803314, 0.15633124113082886, 0.25820159912109375, 0.080113984644413, 0.1185775101184845, 0.11214077472686768, 0.186411514878273, 0.05432717502117157, 0.21681943535804749, 0.2271708846092224, 0.13759995996952057, 0.11712194234132767, 0.1419621855020523]",225.5606734752655,0.8030512879566593,2.4,7.0
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10], 'learning_rate': 0.005, 'weight_decay': 0.0}",256,97.39934335579748,"[0.3668563663959503, 0.31216099858283997, 0.19989009201526642, 0.061550453305244446, 0.13801124691963196, 0.11373148113489151, 0.10062447190284729, 0.11022266745567322, 0.29262199997901917, 0.05059023201465607, 0.04525259882211685, 0.21169573068618774, 0.059358593076467514, 0.07844803482294083, 0.02730359323322773, 0.055860910564661026, 0.05987795442342758, 0.061865225434303284, 0.40606746077537537, 0.036670539528131485, 0.09816231578588486, 0.038396332412958145, 0.05430157482624054, 0.06503931432962418, 0.013851768337190151, 0.10283715277910233, 0.031305279582738876, 0.05141420662403107, 0.04432297125458717, 0.10841061919927597, 0.034255996346473694, 0.19304466247558594, 0.2765780985355377, 0.020124204456806183, 0.08107299357652664, 0.009000866673886776, 0.09130091965198517, 0.12458577752113342, 0.03924356773495674, 0.1413486748933792, 0.08377614617347717, 0.11024381965398788, 0.1439933180809021, 0.05528968945145607, 0.026890885084867477, 0.033821139484643936, 0.02865583263337612, 0.12062326073646545, 0.1264129877090454, 0.08866812288761139, 0.05371343716979027, 0.030257249251008034, 0.115671306848526, 0.06893858313560486, 0.018199266865849495, 0.09051800519227982, 0.025504978373646736, 0.04635298252105713, 0.01226816140115261, 0.027129655703902245, 0.018705515190958977, 0.2970895767211914, 0.02872118540108204, 0.06186543405056, 0.012857961468398571, 0.01732630655169487, 0.05490237474441528, 0.013652929104864597, 0.08578367531299591, 0.25573739409446716, 0.2059764266014099, 0.07107535749673843, 0.00831956509500742, 0.08105670660734177, 0.006216947454959154, 0.1114901527762413, 0.12936900556087494, 0.19573205709457397, 0.014500919729471207, 0.07806625962257385, 0.38176700472831726, 0.056572046130895615, 0.04347122460603714, 0.08154567331075668, 0.01596047729253769, 0.01707613840699196, 0.03972097486257553, 0.01689254492521286, 0.24214401841163635, 0.050354160368442535, 0.17569097876548767, 0.04536725580692291, 0.01596086658537388, 0.03892698138952255, 0.1358167976140976, 0.03165126591920853, 0.17062179744243622, 0.002578979590907693, 0.032717954367399216, 0.0426519401371479]",225.1338336467743,0.7815654831037996,2.6,7.0
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10], 'learning_rate': 0.005, 'weight_decay': 0.0001}",256,97.21790219457405,"[0.2390659898519516, 0.3145744502544403, 0.21954044699668884, 0.2508832514286041, 0.1545034795999527, 0.19865068793296814, 0.06662365794181824, 0.027293836697936058, 0.24297426640987396, 0.18717779219150543, 0.2725178003311157, 0.02029566280543804, 0.378998726606369, 0.1004989892244339, 0.06672155857086182, 0.021394547075033188, 0.19470348954200745, 0.08691449463367462, 0.07242470979690552, 0.21680597960948944, 0.03514852374792099, 0.09458725154399872, 0.06028052419424057, 0.05971909686923027, 0.12673334777355194, 0.08328612893819809, 0.014044432900846004, 0.09149431437253952, 0.07724463194608688, 0.5308199524879456, 0.037506189197301865, 0.16451916098594666, 0.050905730575323105, 0.03316648304462433, 0.08088235557079315, 0.02185257524251938, 0.01284814439713955, 0.1132405698299408, 0.03514067083597183, 0.03683517873287201, 0.22451458871364594, 0.034146104007959366, 0.2345741242170334, 0.009526457637548447, 0.056457385420799255, 0.04085686430335045, 0.02368898317217827, 0.008932708762586117, 0.09815182536840439, 0.1108904778957367, 0.08260980248451233, 0.08746377378702164, 0.04700535163283348, 0.24943356215953827, 0.3057785928249359, 0.06476717442274094, 0.04927260801196098, 0.24264097213745117, 0.01639111526310444, 0.2961142361164093, 0.02814618870615959, 0.11463052779436111, 0.24889491498470306, 0.11711964011192322, 0.05463644489645958, 0.024072324857115746, 0.11194150894880295, 0.032567258924245834, 0.021630095317959785, 0.07935487478971481, 0.1316269189119339, 0.031811490654945374, 0.04388216510415077, 0.030269814655184746, 0.022494984790682793, 0.44064539670944214, 0.29308021068573, 0.05505881458520889, 0.025052838027477264, 0.2322762906551361, 0.02516622468829155, 0.03841906413435936, 0.05590871721506119, 0.16470107436180115, 0.030808113515377045, 0.04102097451686859, 0.06818454712629318, 0.05097458139061928, 0.028428351506590843, 0.02276071347296238, 0.05691753700375557, 0.020111678168177605, 0.16796265542507172, 0.19427095353603363, 0.05395645275712013, 0.025852354243397713, 0.204500213265419, 0.21977686882019043, 0.09063553065061569, 0.014350366778671741]",223.95068335533142,0.7920340246917135,2.0,7.1
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10], 'learning_rate': 0.005, 'weight_decay': 0.001}",256,95.41213063763608,"[0.1974051147699356, 0.21868376433849335, 0.272868275642395, 0.24271202087402344, 0.15436595678329468, 0.15721243619918823, 0.07278773188591003, 0.14283119142055511, 0.17965076863765717, 0.2226676493883133, 0.16614609956741333, 0.1393202841281891, 0.19100552797317505, 0.0715501606464386, 0.12696188688278198, 0.08590349555015564, 0.08290030807256699, 0.10509881377220154, 0.10186059027910233, 0.17383569478988647, 0.16229452192783356, 0.16042932868003845, 0.11366167664527893, 0.06279034167528152, 0.12556563317775726, 0.13645166158676147, 0.07841810584068298, 0.03767530620098114, 0.16732391715049744, 0.14856578409671783, 0.12456345558166504, 0.08419354259967804, 0.1767815798521042, 0.06353187561035156, 0.056694697588682175, 0.06475809961557388, 0.12002113461494446, 0.22984465956687927, 0.05422026291489601, 0.13181190192699432, 0.4205835461616516, 0.14131735265254974, 0.1473914384841919, 0.03787577897310257, 0.18850888311862946, 0.12968488037586212, 0.21002553403377533, 0.2718115448951721, 0.12339014559984207, 0.1536274403333664, 0.1533365398645401, 0.25917261838912964, 0.03953295201063156, 0.05854335054755211, 0.12201323360204697, 0.3225966691970825, 0.22260142862796783, 0.05957694351673126, 0.18421274423599243, 0.31743934750556946, 0.11195873469114304, 0.058527883142232895, 0.1002960205078125, 0.08193768560886383, 0.25338485836982727, 0.11474550515413284, 0.2012259066104889, 0.12118519097566605, 0.18091712892055511, 0.02301737107336521, 0.13243596255779266, 0.10875647515058517, 0.23976367712020874, 0.1221390962600708, 0.08961804956197739, 0.10734867304563522, 0.24202723801136017, 0.11862378567457199, 0.11562228202819824, 0.05257335677742958, 0.26331326365470886, 0.03455416113138199, 0.16424284875392914, 0.11029421538114548, 0.10294702649116516, 0.039938751608133316, 0.19407601654529572, 0.08897235989570618, 0.09428288787603378, 0.09139905124902725, 0.11404263973236084, 0.052280034869909286, 0.0685563012957573, 0.0356801375746727, 0.03656971827149391, 0.07930979132652283, 0.17182451486587524, 0.2064363807439804, 0.10641293972730637, 0.09314949065446854]",217.02146768569946,0.7489385822201302,2.0,7.1
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10], 'learning_rate': 0.001, 'weight_decay': 0.0}",256,96.69949887679282,"[0.7945078015327454, 0.38244619965553284, 0.42319220304489136, 0.43452462553977966, 0.2342408150434494, 0.27975356578826904, 0.2234548181295395, 0.5194845795631409, 0.3795682191848755, 0.3895769417285919, 0.2740335762500763, 0.10296790301799774, 0.15377198159694672, 0.29534485936164856, 0.13720959424972534, 0.14455722272396088, 0.12717778980731964, 0.06618840247392654, 0.10387399047613144, 0.17985683679580688, 0.07881497591733932, 0.1949457973241806, 0.25946250557899475, 0.13274389505386353, 0.1302335262298584, 0.11791762709617615, 0.20330362021923065, 0.2552628219127655, 0.08979050070047379, 0.23490971326828003, 0.09256625920534134, 0.06148359924554825, 0.03758365288376808, 0.06751687824726105, 0.06106097996234894, 0.05042242631316185, 0.17607009410858154, 0.19245204329490662, 0.07777171581983566, 0.19484497606754303, 0.10714078694581985, 0.06501860916614532, 0.09228551387786865, 0.36193251609802246, 0.0834423303604126, 0.11774282157421112, 0.06272319704294205, 0.2168649286031723, 0.2334056794643402, 0.2087360918521881, 0.22557607293128967, 0.012253823690116405, 0.0936354398727417, 0.026178060099482536, 0.08914771676063538, 0.20994149148464203, 0.12422292679548264, 0.3019595444202423, 0.027917897328734398, 0.06931892782449722, 0.040757909417152405, 0.022963332012295723, 0.014277019537985325, 0.5325043201446533, 0.01720345951616764, 0.046493399888277054, 0.2023777961730957, 0.11008456349372864, 0.2029367834329605, 0.06750782579183578, 0.1487455517053604, 0.16058960556983948, 0.201605886220932, 0.28116047382354736, 0.28762128949165344, 0.08461450040340424, 0.032642170786857605, 0.028782140463590622, 0.2265981137752533, 0.43275681138038635, 0.06628059595823288, 0.050921324640512466, 0.2501418888568878, 0.12772396206855774, 0.06413618475198746, 0.08633336424827576, 0.029728198423981667, 0.0805382952094078, 0.11854205280542374, 0.010573324747383595, 0.022887317463755608, 0.10521263629198074, 0.07303380221128464, 0.12399718910455704, 0.016925005242228508, 0.14761319756507874, 0.0795556977391243, 0.08906304091215134, 0.0887533500790596, 0.17036186158657074]",208.6205747127533,0.6810254451319657,2.5,7.1
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10], 'learning_rate': 0.001, 'weight_decay': 0.0001}",256,96.12925522723346,"[0.9386386871337891, 0.5556833148002625, 0.3771565556526184, 0.3437759578227997, 0.1813846230506897, 0.37382107973098755, 0.13941508531570435, 0.1932363361120224, 0.12644314765930176, 0.2711942493915558, 0.17735309898853302, 0.09468238800764084, 0.11886519938707352, 0.22066159546375275, 0.12331736087799072, 0.08589646965265274, 0.2265646606683731, 0.3983690142631531, 0.1379007250070572, 0.2409246414899826, 0.07117240875959396, 0.10706902295351028, 0.3387078642845154, 0.1380981057882309, 0.17162977159023285, 0.25543737411499023, 0.16048012673854828, 0.36181798577308655, 0.11896589398384094, 0.3626735508441925, 0.16450785100460052, 0.12761427462100983, 0.15899434685707092, 0.1047012135386467, 0.12166664004325867, 0.07729575783014297, 0.5074717402458191, 0.15069837868213654, 0.4368937313556671, 0.10661985725164413, 0.3837151825428009, 0.12855713069438934, 0.27685996890068054, 0.04368484392762184, 0.08044537901878357, 0.11901769042015076, 0.06775247305631638, 0.37570104002952576, 0.10344433784484863, 0.14738839864730835, 0.20990486443042755, 0.03187384456396103, 0.15467268228530884, 0.10495300590991974, 0.1107175424695015, 0.16685263812541962, 0.2846696972846985, 0.2323165386915207, 0.07896716892719269, 0.12985725700855255, 0.07440109550952911, 0.060747887939214706, 0.13573966920375824, 0.1783774197101593, 0.06894207000732422, 0.3702574074268341, 0.06179172918200493, 0.24403709173202515, 0.017248380929231644, 0.1584038883447647, 0.028935479000210762, 0.22892707586288452, 0.1469932347536087, 0.08988147228956223, 0.06897314637899399, 0.11906595528125763, 0.13722176849842072, 0.05644109472632408, 0.13355183601379395, 0.22697792947292328, 0.037801772356033325, 0.06788548827171326, 0.19860835373401642, 0.025978773832321167, 0.1001029908657074, 0.10284431278705597, 0.0726446881890297, 0.23234815895557404, 0.23290042579174042, 0.09363536536693573, 0.20792347192764282, 0.1109367311000824, 0.20792680978775024, 0.4814901351928711, 0.05593251809477806, 0.1657320111989975, 0.3036753833293915, 0.0706244632601738, 0.04276427999138832, 0.06287157535552979]",221.48676109313965,0.7773062076357847,2.0,7.0
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10], 'learning_rate': 0.001, 'weight_decay': 0.001}",256,96.0082944530845,"[0.6135655045509338, 0.42550504207611084, 0.2839658260345459, 0.3510573208332062, 0.26869261264801025, 0.2690789997577667, 0.16018317639827728, 0.13799011707305908, 0.0798620656132698, 0.23475070297718048, 0.35652297735214233, 0.2902064025402069, 0.5274209380149841, 0.16316500306129456, 0.13873247802257538, 0.24577336013317108, 0.12692202627658844, 0.17182861268520355, 0.25820639729499817, 0.15537987649440765, 0.18420074880123138, 0.20162421464920044, 0.251454621553421, 0.2653088867664337, 0.18604598939418793, 0.2785431146621704, 0.12524078786373138, 0.343555748462677, 0.07941948622465134, 0.14589446783065796, 0.1446414440870285, 0.21768341958522797, 0.21973375976085663, 0.23703056573867798, 0.2713530361652374, 0.5806496739387512, 0.12183384597301483, 0.1169433668255806, 0.18116019666194916, 0.19138990342617035, 0.11583521217107773, 0.12237593531608582, 0.10695400834083557, 0.24863006174564362, 0.3130604922771454, 0.1371346116065979, 0.17986954748630524, 0.25489524006843567, 0.23670536279678345, 0.1106712594628334, 0.1962500512599945, 0.22806130349636078, 0.11664245277643204, 0.20725540816783905, 0.1952289640903473, 0.2782233655452728, 0.11166102439165115, 0.09703805297613144, 0.13568443059921265, 0.1156005933880806, 0.08751890808343887, 0.1321312040090561, 0.14108765125274658, 0.17914849519729614, 0.18456465005874634, 0.06546472012996674, 0.030251789838075638, 0.1918075978755951, 0.23355436325073242, 0.11031214892864227, 0.18563856184482574, 0.07142625749111176, 0.05707914009690285, 0.09253054112195969, 0.14030271768569946, 0.07253780961036682, 0.2253820300102234, 0.08902415633201599, 0.35626837611198425, 0.029970061033964157, 0.08937039971351624, 0.06989593058824539, 0.16533507406711578, 0.06023527309298515, 0.06324722617864609, 0.3406040668487549, 0.14938873052597046, 0.14441542327404022, 0.11741945892572403, 0.10249471664428711, 0.2037121206521988, 0.1433877795934677, 0.08645834028720856, 0.24465671181678772, 0.08223360031843185, 0.05328111723065376, 0.033135510981082916, 0.10927030444145203, 0.09388666599988937, 0.12791934609413147]",224.54578256607056,0.7964822699351864,1.2,7.0
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10], 'learning_rate': 0.0001, 'weight_decay': 0.0}",256,92.62139277691377,"[1.8054455518722534, 1.695379376411438, 1.4101513624191284, 1.518825888633728, 1.3201203346252441, 1.3538689613342285, 1.1713324785232544, 1.0000321865081787, 0.9820850491523743, 0.7774690389633179, 0.9882783889770508, 0.8249542713165283, 0.885851263999939, 0.5193444490432739, 0.8659114837646484, 0.6712689995765686, 0.49576976895332336, 0.547526478767395, 0.4659327566623688, 0.42554914951324463, 0.31822824478149414, 0.31984275579452515, 0.4467870593070984, 0.6755960583686829, 0.4962162673473358, 0.4249856173992157, 0.20664404332637787, 0.9647702574729919, 0.3016851246356964, 0.35490453243255615, 0.17202533781528473, 0.3639930486679077, 0.2301824539899826, 0.34794023633003235, 0.38146790862083435, 0.5072065591812134, 0.19441890716552734, 0.30686983466148376, 0.13628588616847992, 0.17518265545368195, 0.15070496499538422, 0.24293436110019684, 0.3105230927467346, 0.5206169486045837, 0.23850707709789276, 0.30115270614624023, 0.36833417415618896, 0.45673897862434387, 0.17515070736408234, 0.3522622287273407, 0.38652268052101135, 0.16070036590099335, 0.1418316513299942, 0.28973400592803955, 0.26485657691955566, 0.1706017404794693, 0.43410223722457886, 0.35410600900650024, 0.4168797731399536, 0.42945918440818787, 0.2534121572971344, 0.33683544397354126, 0.18229752779006958, 0.3882713317871094, 0.3407835364341736, 0.3200847804546356, 0.18653282523155212, 0.27945181727409363, 0.28691935539245605, 0.24593795835971832, 0.436921626329422, 0.32911136746406555, 0.3174094259738922, 0.23003672063350677, 0.340000182390213, 0.14644788205623627, 0.20426340401172638, 0.3822605013847351, 0.1791250854730606, 0.35705772042274475, 0.21753816306591034, 0.17987023293972015, 0.3947259187698364, 0.21467074751853943, 0.37895068526268005, 0.13085389137268066, 0.3334801197052002, 0.17522916197776794, 0.16746310889720917, 0.23423872888088226, 0.3361090421676636, 0.275034636259079, 0.194252148270607, 0.22499467432498932, 0.34368154406547546, 0.21313029527664185, 0.1517248898744583, 0.24037989974021912, 0.30642348527908325, 0.2512221932411194]",222.43698477745056,0.764550790602331,1.3,7.0
