params,num_parameters,accuracy,loss_list,training_time,backpropagation_time,max_cpu_usage,max_ram_usage
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10, 10, 10], 'learning_rate': 0.01, 'weight_decay': 0.0}",476,96.96734059097979,"[0.45955654978752136, 0.06327132135629654, 0.03354867920279503, 0.23781973123550415, 0.2397625893354416, 0.1550348997116089, 0.07586026936769485, 0.033463653177022934, 0.0496436208486557, 0.04342610016465187, 0.1346406787633896, 0.08806534111499786, 0.1895449310541153, 0.18091291189193726, 0.036533500999212265, 0.16190704703330994, 0.09569103270769119, 0.02246749773621559, 0.25617799162864685, 0.1538565754890442, 0.011472315527498722, 0.08331846445798874, 0.030662236735224724, 0.014236577786505222, 0.03768022730946541, 0.22670985758304596, 0.12994009256362915, 0.16886287927627563, 0.14588993787765503, 0.01137081440538168, 0.06255439668893814, 0.24742859601974487, 0.02278028056025505, 0.05300448089838028, 0.12180516868829727, 0.20084181427955627, 0.09014438092708588, 0.2760176956653595, 0.31203314661979675, 0.15820695459842682, 0.13826730847358704, 0.09380687028169632, 0.03125345706939697, 0.026485614478588104, 0.2610958516597748, 0.1360328197479248, 0.13877998292446136, 0.02009563520550728, 0.20842431485652924, 0.009984390810132027, 0.05016482248902321, 0.014882880263030529, 0.20114709436893463, 0.06599610298871994, 0.03951391950249672, 0.0628853291273117, 0.010640707798302174, 0.018564563244581223, 0.06866994500160217, 0.014636957086622715, 0.1461440473794937, 0.006517753470689058, 0.10188925266265869, 0.3721270263195038, 0.18249072134494781, 0.04682525247335434, 0.07484418898820877, 0.02952445298433304, 0.013600311242043972, 0.04787196218967438, 0.04638696834445, 0.1699463576078415, 0.06079622730612755, 0.05718576908111572, 0.03999758139252663, 0.05124497786164284, 0.02536357007920742, 0.012118280865252018, 0.011569955386221409, 0.3400186002254486, 0.0058067189529538155, 0.12518373131752014, 0.01794193498790264, 0.003540038364008069, 0.24342435598373413, 0.06286884099245071, 0.033525500446558, 0.013322096318006516, 0.13919726014137268, 0.14349062740802765, 0.13477745652198792, 0.027819128707051277, 0.14264491200447083, 0.19862927496433258, 0.0696043074131012, 0.021781088784337044, 0.023404626175761223, 0.002953008748590946, 0.05816285312175751, 0.05927419662475586]",250.82351851463318,1.081107048039937,1.2,7.6
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10, 10, 10], 'learning_rate': 0.01, 'weight_decay': 0.0001}",476,97.83134612061517,"[0.21694590151309967, 0.18821363151073456, 0.1958753913640976, 0.018015554174780846, 0.1268673539161682, 0.309985876083374, 0.15755294263362885, 0.041216667741537094, 0.14922715723514557, 0.01927180401980877, 0.1688190996646881, 0.5180758833885193, 0.043124180287122726, 0.1963278204202652, 0.06423613429069519, 0.005722051952034235, 0.029028350487351418, 0.05286063998937607, 0.17863990366458893, 0.10123328864574432, 0.19010578095912933, 0.21067309379577637, 0.36409103870391846, 0.04135532304644585, 0.06516470015048981, 0.0595097653567791, 0.08604824542999268, 0.2756047546863556, 0.0259252917021513, 0.03174483776092529, 0.013588223606348038, 0.03294792026281357, 0.035763341933488846, 0.01135904062539339, 0.12379845976829529, 0.057177528738975525, 0.031964536756277084, 0.04089982435107231, 0.03414508327841759, 0.024815119802951813, 0.022253679111599922, 0.007802827283740044, 0.023626035079360008, 0.00805075652897358, 0.25889700651168823, 0.01644843816757202, 0.022596925497055054, 0.0697956308722496, 0.0285183135420084, 0.01729445531964302, 0.04002893716096878, 0.006382842548191547, 0.0363096222281456, 0.02109053172171116, 0.02897774614393711, 0.005867201369255781, 0.1342557817697525, 0.27058225870132446, 0.12490871548652649, 0.01093541644513607, 0.02141977660357952, 0.026367198675870895, 0.01251043938100338, 0.12948065996170044, 0.3668287396430969, 0.14446507394313812, 0.251514732837677, 0.019186334684491158, 0.012910600751638412, 0.20500031113624573, 0.010219031013548374, 0.004405005369335413, 0.010465429164469242, 0.014260848984122276, 0.055831242352724075, 0.08233626931905746, 0.039877358824014664, 0.12677504122257233, 0.13934005796909332, 0.2057923674583435, 0.05318046733736992, 0.28821685910224915, 0.0235187578946352, 0.38413307070732117, 0.09081001579761505, 0.12102436274290085, 0.011426638811826706, 0.033619143068790436, 0.06298518180847168, 0.008352921344339848, 0.018813157454133034, 0.06817693263292313, 0.013892248272895813, 0.010435681790113449, 0.11737367510795593, 0.218950554728508, 0.18203896284103394, 0.06958341598510742, 0.18216699361801147, 0.012194774113595486]",254.7888331413269,1.1351966034641583,1.0,7.6
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10, 10, 10], 'learning_rate': 0.01, 'weight_decay': 0.001}",476,95.03196820459651,"[0.1512400060892105, 0.1825546771287918, 0.08191773295402527, 0.29069435596466064, 0.19059786200523376, 0.3657936751842499, 0.15997730195522308, 0.23068255186080933, 0.1131972149014473, 0.014239382930099964, 0.1239929273724556, 0.05598310008645058, 0.08617572486400604, 0.025945549830794334, 0.1587686985731125, 0.034145787358284, 0.19110514223575592, 0.09028547257184982, 0.36632707715034485, 0.04457441344857216, 0.09598295390605927, 0.0342007651925087, 0.20678287744522095, 0.04842137172818184, 0.15564322471618652, 0.19015803933143616, 0.09122874587774277, 0.0588197335600853, 0.11287078261375427, 0.03851717337965965, 0.2279519885778427, 0.18555019795894623, 0.18472188711166382, 0.045755669474601746, 0.2527180016040802, 0.02745945379137993, 0.1578306257724762, 0.025178492069244385, 0.03508622199296951, 0.334788054227829, 0.038357049226760864, 0.06110565736889839, 0.007240720558911562, 0.10560228675603867, 0.26906153559684753, 0.08309166878461838, 0.07461037486791611, 0.13097207248210907, 0.177579864859581, 0.04980700835585594, 0.009415751323103905, 0.06349017471075058, 0.02257809042930603, 0.015732159838080406, 0.08598201721906662, 0.08501347154378891, 0.04679083451628685, 0.16458331048488617, 0.04781355708837509, 0.28477317094802856, 0.15608283877372742, 0.0929127186536789, 0.043371737003326416, 0.26677796244621277, 0.019121497869491577, 0.045064494013786316, 0.15450149774551392, 0.10357353836297989, 0.06683030724525452, 0.04911056533455849, 0.008655860088765621, 0.10406327247619629, 0.215654194355011, 0.03179411590099335, 0.11306007206439972, 0.043065715581178665, 0.018801912665367126, 0.138130784034729, 0.02427910640835762, 0.03877263888716698, 0.08081736415624619, 0.15837588906288147, 0.06316901743412018, 0.05188116058707237, 0.042185235768556595, 0.1671779602766037, 0.18931414186954498, 0.2024438977241516, 0.03285330906510353, 0.02569139190018177, 0.057611022144556046, 0.09471874684095383, 0.10291307419538498, 0.10510361194610596, 0.013862714171409607, 0.010207676328718662, 0.032541677355766296, 0.06337481737136841, 0.05840791389346123, 0.12141020596027374]",253.72993087768555,1.1276112011124415,1.2,7.6
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10, 10, 10], 'learning_rate': 0.005, 'weight_decay': 0.0}",476,98.34110938310005,"[0.36226770281791687, 0.10877666622400284, 0.15251219272613525, 0.14036612212657928, 0.05657681077718735, 0.13969339430332184, 0.043641313910484314, 0.06890863180160522, 0.09417653828859329, 0.017640775069594383, 0.07311100512742996, 0.042075060307979584, 0.2681126594543457, 0.0693260133266449, 0.387983113527298, 0.019943885505199432, 0.2392270565032959, 0.05021141842007637, 0.009918516501784325, 0.048843882977962494, 0.06288041919469833, 0.2027634084224701, 0.15107615292072296, 0.2862612009048462, 0.2224234938621521, 0.03708105534315109, 0.10898490250110626, 0.13996024429798126, 0.5409524440765381, 0.042990703135728836, 0.011075329035520554, 0.19843636453151703, 0.0063619655556976795, 0.10197503864765167, 0.015265517868101597, 0.06708961725234985, 0.025568632408976555, 0.18470005691051483, 0.009474214166402817, 0.027305765077471733, 0.0654316246509552, 0.4742873013019562, 0.011979921720921993, 0.04872862994670868, 0.4530884027481079, 0.02044767327606678, 0.012862521223723888, 0.06550251692533493, 0.1439816802740097, 0.026047708466649055, 0.1959211677312851, 0.08779081702232361, 0.20918859541416168, 0.01473163440823555, 0.03448224067687988, 0.039013151079416275, 0.03352859988808632, 0.04149238392710686, 0.20781241357326508, 0.07525884360074997, 0.0069741979241371155, 0.01821218617260456, 0.025509240105748177, 0.30007025599479675, 0.004683591425418854, 0.03478293865919113, 0.18709325790405273, 0.04615762084722519, 0.010548030957579613, 0.010257051326334476, 0.026951061561703682, 0.015493673272430897, 0.03981964290142059, 0.0180964358150959, 0.05099308118224144, 0.021016187965869904, 0.01310943067073822, 0.011230042204260826, 0.09159359335899353, 0.10200408101081848, 0.32740887999534607, 0.025190938264131546, 0.011386621743440628, 0.20813614130020142, 0.34630143642425537, 0.0007378177251666784, 0.019836682826280594, 0.1689182072877884, 0.05808063969016075, 0.2894381880760193, 0.24552768468856812, 0.1366209238767624, 0.027631981298327446, 0.0172123983502388, 0.022690197452902794, 0.003522726707160473, 0.10586726665496826, 0.01159917376935482, 0.004629303235560656, 0.011703496798872948]",248.1256971359253,1.0671843876496205,2.9,7.6
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10, 10, 10], 'learning_rate': 0.005, 'weight_decay': 0.0001}",476,98.38430965958182,"[0.3282674252986908, 0.23494654893875122, 0.1066950112581253, 0.07821527868509293, 0.04671019688248634, 0.11017556488513947, 0.12137322872877121, 0.06492424756288528, 0.24929021298885345, 0.04194628819823265, 0.071995310485363, 0.09383179992437363, 0.014391484670341015, 0.09125849604606628, 0.012224248610436916, 0.024053312838077545, 0.11978942900896072, 0.08062949776649475, 0.051502715796232224, 0.03752490505576134, 0.33509454131126404, 0.01152109820395708, 0.13803750276565552, 0.028691435232758522, 0.23588182032108307, 0.05350480228662491, 0.451822966337204, 0.15847283601760864, 0.011192911304533482, 0.2448379546403885, 0.019659852609038353, 0.06310761719942093, 0.16260482370853424, 0.3552330732345581, 0.008955826982855797, 0.27344629168510437, 0.0656437799334526, 0.03471986949443817, 0.10114934295415878, 0.2146928757429123, 0.058268070220947266, 0.0777759701013565, 0.08783501386642456, 0.23284684121608734, 0.04243828356266022, 0.03157516568899155, 0.018875254318118095, 0.2624158561229706, 0.2970704734325409, 0.16431580483913422, 0.09102525562047958, 0.009487755596637726, 0.028371209278702736, 0.014162085019052029, 0.05038115009665489, 0.06725969910621643, 0.10694518685340881, 0.19611553847789764, 0.020274009555578232, 0.016286492347717285, 0.1024336889386177, 0.040650635957717896, 0.13408410549163818, 0.03140697255730629, 0.030207358300685883, 0.06517734378576279, 0.004596163518726826, 0.2858062982559204, 0.012377121485769749, 0.06477265059947968, 0.14180368185043335, 0.005016553681343794, 0.02418196201324463, 0.06514548510313034, 0.015769602730870247, 0.05105407163500786, 0.023821299895644188, 0.027725137770175934, 0.26734039187431335, 0.01837398111820221, 0.02423844486474991, 0.003551937872543931, 0.04704589769244194, 0.013703202828764915, 0.27694088220596313, 0.00908882636576891, 0.07020708173513412, 0.22771835327148438, 0.03832919895648956, 0.090738445520401, 0.1468498855829239, 0.12802840769290924, 0.08284179866313934, 0.045021627098321915, 0.09027537703514099, 0.007028512191027403, 0.011743977665901184, 0.06853547692298889, 0.008599944412708282, 0.0049164011143147945]",362.34057235717773,1.966464338381646,4.4,7.6
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10, 10, 10], 'learning_rate': 0.005, 'weight_decay': 0.001}",476,96.75133920857094,"[0.08792180567979813, 0.26933929324150085, 0.18933001160621643, 0.21384435892105103, 0.16971920430660248, 0.3584880232810974, 0.08957982063293457, 0.12108928710222244, 0.19861672818660736, 0.0853789746761322, 0.1898420751094818, 0.11882570385932922, 0.054916564375162125, 0.05990372598171234, 0.03733276575803757, 0.022019073367118835, 0.03944838419556618, 0.04673302546143532, 0.28111639618873596, 0.07981326431035995, 0.04048757255077362, 0.01929807849228382, 0.22054514288902283, 0.3438951373100281, 0.18309523165225983, 0.19689854979515076, 0.06305279582738876, 0.15773822367191315, 0.05315816402435303, 0.06806588917970657, 0.06260531395673752, 0.02254781499505043, 0.08653248846530914, 0.022947419434785843, 0.09168756008148193, 0.10225547105073929, 0.041397906839847565, 0.047275688499212265, 0.078356072306633, 0.13205276429653168, 0.26286813616752625, 0.018772251904010773, 0.035402413457632065, 0.028299624100327492, 0.22173914313316345, 0.2333451807498932, 0.09585719555616379, 0.12517286837100983, 0.09450939297676086, 0.1280866116285324, 0.18498095870018005, 0.0775410607457161, 0.08937325328588486, 0.04898597300052643, 0.09974450618028641, 0.021608227863907814, 0.03755248710513115, 0.05232745781540871, 0.1030765250325203, 0.02059892565011978, 0.1806110143661499, 0.035970237106084824, 0.06628484278917313, 0.1861378699541092, 0.08463671803474426, 0.018847160041332245, 0.04344695061445236, 0.05377550423145294, 0.023585287854075432, 0.38312751054763794, 0.18480513989925385, 0.0812869593501091, 0.2280704528093338, 0.06874328851699829, 0.02236993797123432, 0.03566807508468628, 0.02453061193227768, 0.10490072518587112, 0.15075227618217468, 0.13415959477424622, 0.05521618202328682, 0.05627846717834473, 0.08855728805065155, 0.0175859984010458, 0.009231587871909142, 0.04789998382329941, 0.034458134323358536, 0.018580539152026176, 0.018571071326732635, 0.04122656583786011, 0.026378165930509567, 0.05897782742977142, 0.039329469203948975, 0.05429650843143463, 0.027444159612059593, 0.07396640628576279, 0.12252821773290634, 0.22737957537174225, 0.021397236734628677, 0.10371167212724686]",313.3234565258026,1.5677806488058186,1.2,7.6
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10, 10, 10], 'learning_rate': 0.001, 'weight_decay': 0.0}",476,97.88318645239329,"[0.500437319278717, 0.6152344346046448, 0.6606923937797546, 0.15822277963161469, 0.36005526781082153, 0.16746295988559723, 0.18532447516918182, 0.3470957577228546, 0.06719474494457245, 0.10503064841032028, 0.260189414024353, 0.053682900965213776, 0.11999250203371048, 0.16230641305446625, 0.2091856449842453, 0.0683089941740036, 0.03332202136516571, 0.08380448073148727, 0.29087188839912415, 0.0452614463865757, 0.2332678735256195, 0.025524819269776344, 0.1187371015548706, 0.04852099344134331, 0.07025541365146637, 0.028620220720767975, 0.12714922428131104, 0.09469889849424362, 0.029313616454601288, 0.07527004927396774, 0.10282334685325623, 0.18039114773273468, 0.14385072886943817, 0.2495197206735611, 0.04658713564276695, 0.07014710456132889, 0.11318065971136093, 0.034152332693338394, 0.15830373764038086, 0.014177953824400902, 0.04044729098677635, 0.05068832263350487, 0.017129279673099518, 0.2138388305902481, 0.0173114575445652, 0.17239105701446533, 0.046485599130392075, 0.2678949534893036, 0.10644762217998505, 0.036337509751319885, 0.023448700085282326, 0.020325064659118652, 0.017864124849438667, 0.009707480669021606, 0.04908142238855362, 0.27305200695991516, 0.3224186897277832, 0.03900543600320816, 0.005521297920495272, 0.021809017285704613, 0.03981630504131317, 0.04374459385871887, 0.04681532457470894, 0.17388860881328583, 0.2953106164932251, 0.010782357305288315, 0.025082401931285858, 0.01432837639003992, 0.2981429994106293, 0.19261255860328674, 0.04599368944764137, 0.17683519423007965, 0.00630120187997818, 0.13826093077659607, 0.04403100907802582, 0.18452005088329315, 0.00985194556415081, 0.06526871025562286, 0.03998694568872452, 0.05342821776866913, 0.03031718172132969, 0.023798400536179543, 0.054119858890771866, 0.23871003091335297, 0.16286349296569824, 0.012563598342239857, 0.443381130695343, 0.032148439437150955, 0.2084391564130783, 0.054238058626651764, 0.26886817812919617, 0.012285633943974972, 0.010597593151032925, 0.04605952650308609, 0.07112019509077072, 0.007632298860698938, 0.07976427674293518, 0.0038460679352283478, 0.14063547551631927, 0.0091949962079525]",310.6578278541565,1.5140059606805032,1.2,7.6
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10, 10, 10], 'learning_rate': 0.001, 'weight_decay': 0.0001}",476,98.2374287195438,"[0.8202145099639893, 0.2324853092432022, 0.32012441754341125, 0.3672349154949188, 0.1571187824010849, 0.3771018981933594, 0.1154823824763298, 0.17695559561252594, 0.41631853580474854, 0.21597880125045776, 0.2439093142747879, 0.248044952750206, 0.025060666725039482, 0.1423986703157425, 0.02717282623052597, 0.14815516769886017, 0.055932655930519104, 0.03424897417426109, 0.018361134454607964, 0.4815059006214142, 0.052965935319662094, 0.16716742515563965, 0.07233309000730515, 0.01360019389539957, 0.082815021276474, 0.07084686309099197, 0.017936179414391518, 0.029752124100923538, 0.02118263952434063, 0.13264088332653046, 0.1402807980775833, 0.04980047047138214, 0.02965983934700489, 0.2507791221141815, 0.026989834383130074, 0.09162017703056335, 0.04569659382104874, 0.1598198264837265, 0.08895163983106613, 0.04457162693142891, 0.2645793855190277, 0.02500521019101143, 0.2637390196323395, 0.20412059128284454, 0.19192184507846832, 0.017768198624253273, 0.043775420635938644, 0.04475288465619087, 0.03234662488102913, 0.025042545050382614, 0.09285524487495422, 0.06477703899145126, 0.026665877550840378, 0.11898604035377502, 0.03874457627534866, 0.029775865375995636, 0.022297922521829605, 0.07895764708518982, 0.009414086118340492, 0.057481203228235245, 0.09201300144195557, 0.06934241950511932, 0.011666315607726574, 0.1264711618423462, 0.015480213798582554, 0.04015485942363739, 0.17379821836948395, 0.008603233844041824, 0.01161643210798502, 0.0538373626768589, 0.03962220251560211, 0.05258911848068237, 0.01939144916832447, 0.26576778292655945, 0.044801630079746246, 0.04394521191716194, 0.09445994347333908, 0.019393444061279297, 0.01782717928290367, 0.028254102915525436, 0.0028967419639229774, 0.041348908096551895, 0.3071850538253784, 0.2232309728860855, 0.01986849494278431, 0.06536204367876053, 0.10330942273139954, 0.009568901732563972, 0.024901270866394043, 0.006036706268787384, 0.06061030924320221, 0.023914510384202003, 0.07979895919561386, 0.08845836669206619, 0.01777014322578907, 0.13763326406478882, 0.220724955201149, 0.015480909496545792, 0.20722101628780365, 0.07836563885211945]",283.6487205028534,1.3467866939734359,1.2,7.6
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10, 10, 10], 'learning_rate': 0.001, 'weight_decay': 0.001}",476,97.97822706065318,"[0.8503643274307251, 0.4568033516407013, 0.17305541038513184, 0.15771231055259705, 0.5426603555679321, 0.1621137261390686, 0.13842612504959106, 0.1698833853006363, 0.25029897689819336, 0.020558029413223267, 0.05753914266824722, 0.07650527358055115, 0.042275503277778625, 0.07599310576915741, 0.09102834016084671, 0.03226764500141144, 0.1026274710893631, 0.11489053070545197, 0.1732916533946991, 0.08280367404222488, 0.17088723182678223, 0.04742472991347313, 0.07047698646783829, 0.042615074664354324, 0.09582751244306564, 0.026373635977506638, 0.26601001620292664, 0.03360966593027115, 0.06034253537654877, 0.04200070723891258, 0.058342717587947845, 0.11832175403833389, 0.17724274098873138, 0.06482941657304764, 0.04920116439461708, 0.05088149011135101, 0.018785815685987473, 0.11486174911260605, 0.06274735182523727, 0.11550936102867126, 0.04595528915524483, 0.015124243684113026, 0.22624683380126953, 0.06938549876213074, 0.04041488468647003, 0.3447580337524414, 0.07809505611658096, 0.04196253791451454, 0.185966357588768, 0.013827810063958168, 0.027089517563581467, 0.2911885976791382, 0.036896053701639175, 0.03114037588238716, 0.1002267599105835, 0.041749630123376846, 0.11251456290483475, 0.029870320111513138, 0.04578372463583946, 0.01522553525865078, 0.08965214341878891, 0.18239189684391022, 0.1459038257598877, 0.04647580534219742, 0.20822934806346893, 0.04281056672334671, 0.1640937775373459, 0.09662400931119919, 0.0934867337346077, 0.08923643082380295, 0.09107222408056259, 0.036858413368463516, 0.1288987249135971, 0.06487812101840973, 0.049160685390233994, 0.048369720578193665, 0.01817341335117817, 0.017442751675844193, 0.05968188866972923, 0.05589767545461655, 0.08471337705850601, 0.11192803829908371, 0.07597193866968155, 0.10158400982618332, 0.17480748891830444, 0.4115804433822632, 0.04331931844353676, 0.029009999707341194, 0.1009240671992302, 0.03736645355820656, 0.09031515568494797, 0.027613097801804543, 0.2011529952287674, 0.15065298974514008, 0.01853068917989731, 0.03233965113759041, 0.04632237181067467, 0.04107629135251045, 0.1008564680814743, 0.15845449268817902]",329.00239872932434,1.6886396928386793,1.2,7.6
"{'dropout_prob': 0.0, 'epochs': 100, 'hidden_layers': [10, 10, 10, 10], 'learning_rate': 0.0001, 'weight_decay': 0.0}",476,95.80093312597201,"[1.6743857860565186, 1.5561614036560059, 1.333842396736145, 1.174040675163269, 0.9907543063163757, 0.8406431674957275, 0.8740472197532654, 0.8145552277565002, 0.6132224798202515, 0.425214022397995, 0.5840891599655151, 0.41728800535202026, 0.5285947918891907, 0.3519568145275116, 0.4436247944831848, 0.2528684735298157, 0.5481114983558655, 0.7468052506446838, 0.26156046986579895, 0.18838773667812347, 0.1988813430070877, 0.45544034242630005, 0.20749150216579437, 0.5599756836891174, 0.09960673004388809, 0.21630100905895233, 0.19250226020812988, 0.3913003206253052, 0.09618732333183289, 0.13831990957260132, 0.2905220687389374, 0.23282161355018616, 0.19969569146633148, 0.5278371572494507, 0.2451981008052826, 0.2817111313343048, 0.15755008161067963, 0.12392084300518036, 0.30316102504730225, 0.20196212828159332, 0.14486853778362274, 0.33043432235717773, 0.3480340540409088, 0.13204795122146606, 0.3646315634250641, 0.17441385984420776, 0.1403319537639618, 0.07216458022594452, 0.11861886829137802, 0.10140030831098557, 0.12735673785209656, 0.23475903272628784, 0.18170525133609772, 0.16320225596427917, 0.16942431032657623, 0.13386674225330353, 0.05400687828660011, 0.11465489119291306, 0.2697434425354004, 0.08962245285511017, 0.3816879987716675, 0.20257672667503357, 0.14432813227176666, 0.13219818472862244, 0.13558559119701385, 0.11080841720104218, 0.08717694878578186, 0.09526953846216202, 0.2301909476518631, 0.12794362008571625, 0.08775845915079117, 0.31566479802131653, 0.2579334080219269, 0.1306905895471573, 0.2764419615268707, 0.07012338191270828, 0.237382709980011, 0.1624225527048111, 0.17182134091854095, 0.25034016370773315, 0.14503514766693115, 0.055979762226343155, 0.12637315690517426, 0.14848929643630981, 0.13047653436660767, 0.652272641658783, 0.185872882604599, 0.36438557505607605, 0.1539924293756485, 0.12556295096874237, 0.2551082670688629, 0.22668088972568512, 0.1905396580696106, 0.20070940256118774, 0.05986209213733673, 0.059424933046102524, 0.1063617393374443, 0.12503385543823242, 0.18034157156944275, 0.13199463486671448]",255.64276933670044,1.1136715912687185,0.9,7.6
