Ciclo,Tempo_Total_Previsao,Tempo_Leitura,Tempo_Previsao_Rede,Tempo_Escrita,Entradas,Saidas
1,0.024384737014770508,0.00945425033569336,0.0003209114074707031,0.014249086380004883,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
2,0.021482229232788086,0.010456085205078125,0.0003495216369628906,0.010156869888305664,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
3,0.024825096130371094,0.011507987976074219,0.00023865699768066406,0.012717008590698242,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
4,0.022262096405029297,0.012703418731689453,0.0002429485321044922,0.009012222290039062,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
5,0.02722311019897461,0.018445730209350586,0.00022840499877929688,0.008183002471923828,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
6,0.02008676528930664,0.012740612030029297,0.00020813941955566406,0.0068323612213134766,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
7,0.01548147201538086,0.008140325546264648,0.00020813941955566406,0.006836652755737305,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
8,0.020928144454956055,0.008080720901489258,0.0002079010009765625,0.012347936630249023,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
9,0.019934892654418945,0.010212421417236328,0.00020313262939453125,0.009248018264770508,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
10,0.018283843994140625,0.007807016372680664,0.00020813941955566406,0.00997304916381836,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
11,0.023838520050048828,0.014019012451171875,0.0002562999725341797,0.009101390838623047,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
12,0.017530441284179688,0.010110855102539062,0.00020503997802734375,0.0069179534912109375,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
13,0.017766952514648438,0.009102344512939453,0.00022673606872558594,0.008054256439208984,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
14,0.018613338470458984,0.007941484451293945,0.00020766258239746094,0.010169744491577148,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
15,0.020895004272460938,0.013521671295166016,0.0002448558807373047,0.0068361759185791016,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
16,0.022856712341308594,0.012339115142822266,0.00019168853759765625,0.010029792785644531,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
17,0.01895928382873535,0.01036524772644043,0.00019407272338867188,0.008123397827148438,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
18,0.017286300659179688,0.007813692092895508,0.00019216537475585938,0.008980035781860352,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
19,0.016562223434448242,0.007831096649169922,0.0002620220184326172,0.008225202560424805,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
20,0.029738187789916992,0.020124197006225586,0.0001914501190185547,0.009145498275756836,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
21,0.021212100982666016,0.009105443954467773,0.00019168853759765625,0.011637210845947266,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
22,0.026314973831176758,0.017854690551757812,0.00019168853759765625,0.007974863052368164,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
23,0.0172426700592041,0.008893966674804688,0.00019121170043945312,0.00790715217590332,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
